Aircraft TypeDesignator,Class,Number+Engine Type,"MANUFACTURER, Model"
BE9T,LandPlane,2/Turboprop/Turboshaft,"BEECH, 90 (F90) King Air"
BEAR,LandPlane,1/Piston,"AVIPRO, RB-4 Bearhawk"
BELF,LandPlane,4/Turboprop/Turboshaft,"SHORT, SC-5 Belfast"
BER2,Amphibian,2/Jet,"BERIEV, Be-200 Altair"
BER4,Amphibian,2/Jet,"BERIEV, A-40 Albatross"
BETA,LandPlane,1/Piston,"ROLLASON, Beta"
BEVR,LandPlane,1/Piston,"ASAP, Beaver"
BF19,LandPlane,1/Piston,"PODESVA, Bf-109G-2"
BFIT,LandPlane,1/Piston,"BRISTOL, F-2B Fighter Replica"
BILO,LandPlane,1/Piston,"PENA, Bilouis"
BIPL,LandPlane,1/Piston,"EAA, Biplane"
BIRD,LandPlane,1/Piston,"TAYLOR (3), TA-2 Bird"
BISC,LandPlane,1/Piston,"BILSAM, Sky Cruiser"
BK17,Helicopter,2/Turboprop/Turboshaft,"MBB-KAWASAKI, BK-117"
BKUT,LandPlane,1/Piston,"BERKUT, Berkut"
BL11,LandPlane,1/Piston,"BLERIOT, 11 Replica"
BL17,LandPlane,1/Piston,"BELLANCA, 17 Viking"
BL19,LandPlane,1/Piston,"BELLANCA, 19 Skyrocket"
BL8,LandPlane,1/Piston,"BELLANCA, 8 Scout"
BLBU,LandPlane,1/Piston,"AMEUR, Altania"
BLCF,LandPlane,4/Jet,"BOEING, 747-400LCF Dreamlifter"
BLEN,LandPlane,2/Piston,"BRISTOL, 149 Blenheim"
BLKS,LandPlane,1/Piston,"AIRCRAFT SPRUCE, Baby Lakes"
BM6,LandPlane,1/Piston,"MARANDA, BM-6 Lark"
BMAN,LandPlane,1/Piston,"AAK, Bushman"
BN2P,LandPlane,2/Piston,"BRITTEN-NORMAN, BN-2 Islander"
BN2T,LandPlane,2/Turboprop/Turboshaft,"BRITTEN-NORMAN, BN-2T Turbine Islander"
BO40,LandPlane,1/Piston,"BOEING, 40"
BOLT,LandPlane,1/Piston,"STEEN, Skybolt"
BOOM,LandPlane,2/Piston,"RUTAN, 202 Boomerang"
BPAT,LandPlane,1/Piston,"R & B, Bearhawk Patrol"
BPOD,LandPlane,4/Electric,"SCALED, 367 BiPod"
BPUM,Landplane,1/Piston,"BDC AERO, Puma"
BR14,LandPlane,1/Piston,"BREGUET, 14 Replica"
BR23,LandPlane,1/Piston,"BRM AERO, Bristell B23"
BR54,Gyrocopter,1/Piston,"BARNETT, BRC-540"
BR60,LandPlane,1/Piston,"BRUMBY, 600"
BR61,LandPlane,1/Piston,"BRUMBY, 610 Evolution"
BR8,LandPlane,1/Piston,"BRM AERO, Bristell B8"
BRAV,LandPlane,1/Piston,"TECNAM, P-2004 Bravo"
BRB2,Helicopter,1/Piston,"BRANTLY, B-2"
BREZ,LandPlane,1/Piston,"AEROSTYLE, Breezer"
BROU,LandPlane,1/Piston,"MAX HOLSTE, MH-1521 Broussard"
BS60,LandPlane,2/Turboprop/Turboshaft,"BEECH-SFERMA, 60 Marquis"
BSTP,Helicopter,2/Turboprop/Turboshaft,"BELL, 214ST SuperTransport"
BT36,LandPlane,1/Piston,"BEECH, B36TC Bonanza"
BT7,LandPlane,1/Jet,"BOEING, T-7 Red Hawk"
BTUB,LandPlane,1/Piston,"KIMBREL, Dormoy Bathtub"
BU20,LandPlane,3/Piston,"AIRCRAFT HYDRO-FORMING, Bushmaster 2000"
BU31,LandPlane,1/Piston,"BUCKER, Bü-131 Jungmann"
BU33,LandPlane,1/Piston,"BUCKER, Bü-133 Jungmeister"
BU81,LandPlane,1/Piston,"BUCKER, Bü-181 Bestmann"
BUC,LandPlane,2/Jet,"HAWKER SIDDELEY, Buccaneer"
BUCA,Amphibian,1/Piston,"ADVANCED AVIATION, Buccaneer"
BULT,LandPlane,1/Piston,"BROKAW, BJ-520 Bullet"
BUSH,LandPlane,1/Piston,"RAINBOW SKYREACH, BushCat"
BW60,LandPlane,1/Piston,"BLACKWING, BW-600"
BW6T,LandPlane,1/Piston,"BLACKWING, BW-635"
BX2,LandPlane,1/Piston,"BRANDLI, BX-2 Cherry"
C02T,LandPlane,2/Turboprop/Turboshaft,"CESSNA, 402 (turbine)"
C04T,LandPlane,2/Turboprop/Turboshaft,"CESSNA, 404 (turbine)"
C06T,LandPlane,1/Turboprop/Turboshaft,"CESSNA, 206 (turbine)"
C07T,LandPlane,1/Turboprop/Turboshaft,"CESSNA, 207 (turbine)"
C08T,LandPlane,/Turboprop/Turboshaft,"SOLOY, 208 Dual-Pac Caravan"
C1,LandPlane,2/Jet,"KAWASAKI, C-1"
C101,LandPlane,1/Jet,"CASA, C-101 Aviojet"
C10T,LandPlane,1/Turboprop/Turboshaft,"CESSNA, P210 (turbine)"
C119,LandPlane,2/Piston,"FAIRCHILD (1), C-119 Flying Boxcar"
C120,LandPlane,1/Piston,"CESSNA, 120"
C123,LandPlane,2/Piston,"FAIRCHILD (1), C-123 Provider"
C125,LandPlane,3/Piston,"NORTHROP, C-125 Raider"
C130,LandPlane,4/Turboprop/Turboshaft,"LOCKHEED, C-130H Hercules"
C135,LandPlane,4/Jet,"BOEING, WC-135"
C140,LandPlane,1/Piston,"CESSNA, 140"
C141,LandPlane,4/Jet,"LOCKHEED, C-141 Starlifter"
C14T,LandPlane,2/Turboprop/Turboshaft,"CESSNA, 414 (turbine)"
C15,LandPlane,4/Jet,"MCDONNELL DOUGLAS, YC-15"
C150,LandPlane,1/Piston,"CESSNA, A150 Aerobat"
C152,LandPlane,1/Piston,"CESSNA, A152 Aerobat"
C160,LandPlane,2/Turboprop/Turboshaft,"TRANSALL, C-160"
C162,LandPlane,1/Piston,"CESSNA, 162 Skycatcher"
C17,LandPlane,4/Jet,"BOEING, C-17 Globemaster 3"
C170,LandPlane,1/Piston,"CESSNA, 170"
C172,LandPlane,1/Piston,"CESSNA, 172 Skyhawk"
C175,LandPlane,1/Piston,"CESSNA, 175 Skylark"
C177,LandPlane,1/Piston,"CESSNA, 177 Cardinal"
C180,LandPlane,1/Piston,"CESSNA, 180 Skywagon 180"
C182,LandPlane,1/Piston,"CESSNA, 182 Skylane"
C185,LandPlane,1/Piston,"CESSNA, 185 Skywagon"
C188,LandPlane,1/Piston,"CESSNA, 188 AgWagon"
C190,LandPlane,1/Piston,"CESSNA, 190"
C195,LandPlane,1/Piston,"CESSNA, 195"
C2,LandPlane,2/Turboprop/Turboshaft,"GRUMMAN, C-2 Greyhound"
C205,LandPlane,1/Piston,"CESSNA, 205"
C206,LandPlane,1/Piston,"CESSNA, 206 Stationair"
C207,LandPlane,1/Piston,"CESSNA, 207 Stationair 7"
C208,LandPlane,1/Turboprop/Turboshaft,"CESSNA, 208 Caravan 1"
C210,LandPlane,1/Piston,"CESSNA, 210 Centurion"
C212,LandPlane,2/Turboprop/Turboshaft,"CASA, C-212 Aviocar"
C21T,LandPlane,2/Turboprop/Turboshaft,"CESSNA, 421 (turbine)"
C22J,LandPlane,2/Jet,"CAPRONI VIZZOLA, C-22J Ventura"
C240,LandPlane,1/Piston,"CESSNA, T240 Corvalis TTx"
C25A,LandPlane,2/Jet,"CESSNA, 525A Citation CJ2"
C25B,LandPlane,2/Jet,"CESSNA, 525B Citation CJ3"
C25C,LandPlane,2/Jet,"CESSNA, 525C Citation CJ4"
C25M,LandPlane,2/Jet,"CESSNA, 525 Citation M2"
C270,LandPlane,1/Piston,"CAUDRON, C-270 Luciole"
C27J,LandPlane,2/Turboprop/Turboshaft,"ALENIA, C-27J Spartan"
C295,LandPlane,2/Turboprop/Turboshaft,"CASA, C-295 Persuader"
C303,LandPlane,2/Piston,"CESSNA, T303 Crusader"
C306,LandPlane,1/Piston,"CEA-UFMG, CEA-306 CB-10 Triathlon"
C309,LandPlane,1/Piston,"CEA-UFMG, CEA-309 Mehari"
C30J,LandPlane,4/Turboprop/Turboshaft,"LOCKHEED MARTIN, C-130J Super Hercules"
C310,LandPlane,2/Piston,"CESSNA, 310"
C311,LandPlane,1/Piston,"CEA-UFMG, CEA-311 Anequim"
C320,LandPlane,2/Piston,"CESSNA, 320 Skyknight"
C335,LandPlane,2/Piston,"CESSNA, 335"
C336,LandPlane,2/Piston,"CESSNA, 336 Skymaster"
C337,LandPlane,2/Piston,"CESSNA, 337 Super Skymaster"
C340,LandPlane,2/Piston,"CESSNA, 340"
C365,LandPlane,1/Turboprop/Turboshaft,"EKW, C-3605"
C402,LandPlane,2/Piston,"CESSNA, 402 Businessliner"
C404,LandPlane,2/Piston,"CESSNA, 404 Titan"
C408,LandPlane,2/Turboprop/Turboshaft,"CESSNA, 408 SkyCourier"
C411,LandPlane,2/Piston,"CESSNA, 411"
C414,LandPlane,2/Piston,"CESSNA, 414 Chancellor"
C42,LandPlane,1/Piston,"IKARUS, C-42 Bison"
C421,LandPlane,2/Piston,"CESSNA, 421 Executive Commuter"
C425,LandPlane,2/Turboprop/Turboshaft,"CESSNA, 425 Conquest 1"
C441,LandPlane,2/Turboprop/Turboshaft,"CESSNA, 441 Conquest 2"
C46,LandPlane,2/Piston,"CURTISS, C-46 Commando"
C500,LandPlane,2/Jet,"CESSNA, 500 Citation 1"
C501,LandPlane,2/Jet,"CESSNA, 501 Citation 1SP"
C510,LandPlane,2/Jet,"CESSNA, 510 Citation Mustang"
C525,LandPlane,2/Jet,"CESSNA, 525 Citation CJ1"
C526,LandPlane,2/Jet,"CESSNA, 526 CitationJet"
C550,LandPlane,2/Jet,"CESSNA, 550 Citation 2"
C551,LandPlane,2/Jet,"CESSNA, 551 Citation 2SP"
C55B,LandPlane,2/Jet,"CESSNA, 550B Citation Bravo"
C560,LandPlane,2/Jet,"CESSNA, 560 Citation 5"
C56X,LandPlane,2/Jet,"CESSNA, 560XL Citation XLS"
C5M,LandPlane,4/Jet,"LOCKHEED, C-5 Super Galaxy"
C650,LandPlane,2/Jet,"CESSNA, 650 Citation 7"
C680,LandPlane,2/Jet,"CESSNA, 680 Citation Sovereign"
C68A,LandPlane,2/Jet,"CESSNA, 680A Citation Latitude"
C700,LandPlane,2/Jet,"CESSNA, 700 Citation Longitude"
C72R,LandPlane,1/Piston,"CESSNA, 172RG Cutlass RG"
C750,LandPlane,2/Jet,"CESSNA, 750 Citation 10"
C77R,LandPlane,1/Piston,"CESSNA, 177RG Cardinal RG"
C82,LandPlane,2/Piston,"FAIRCHILD (1), C-82 Packet"
C82R,LandPlane,1/Piston,"CESSNA, R182 Skylane RG"
C82S,LandPlane,1/Piston,"CESSNA, T182 Turbo Skylane"
C82T,LandPlane,1/Piston,"CESSNA, TR182 Turbo Skylane RG"
C919,LandPlane,2/Jet,"COMAC, C-919"
C97,LandPlane,4/Piston,"BOEING, C-97 Stratofreighter"
CA12,LandPlane,1/Turboprop/Turboshaft,"COMP AIR, CA-12 Comp Air 12"
CA19,LandPlane,1/Piston,"COMMONWEALTH (1), CA-19 Boomerang"
CA1P,LandPlane,1/Piston,"AEROCOMP, CA-10 Comp Air 10"
CA1T,LandPlane,1/Turboprop/Turboshaft,"AEROCOMP, CA-10T  Comp Air 10T"
CA25,LandPlane,1/Piston,"COMMONWEALTH (1), CA-25 Winjeel"
CA3,LandPlane,1/Piston,"AEROCOMP, CA-3 Comp Air 3"
CA4,LandPlane,1/Piston,"AEROCOMP, CA-4 Comp Air 4"
CA41,LandPlane,1/Piston,"CORVUS, CA-41 Racer"
CA6,LandPlane,1/Piston,"AEROCOMP, CA-6 Comp Air 6"
CA61,LandPlane,1/Piston,"CVJETKOVIC, CA-61 Mini Ace"
CA65,LandPlane,1/Piston,"CVJETKOVIC, CA-65 Skyfly"
CA7P,LandPlane,1/Piston,"AEROCOMP, CA-7P Comp Air 7P"
CA7T,LandPlane,1/Turboprop/Turboshaft,"AEROCOMP, CA-7T Comp Air 7T"
CA8,LandPlane,1/Turboprop/Turboshaft,"COMP AIR, CA-8 Comp Air 8"
CA9,LandPlane,1/Turboprop/Turboshaft,"COMP AIR, CA-9 Comp Air 9"
CABI,LandPlane,1/Turboprop/Turboshaft,"UNIVERSAL COMPOSITE, Carbon Bird"
CABN,LandPlane,1/Piston,"PARAMOUNT, Cabinaire"
CAD2,LandPlane,1/Piston,"CLASS, Bush Caddy R-120"
CAD4,LandPlane,1/Piston,"CLASS, Bush Caddy L-160"
CAJ,LandPlane,1/Jet,"AEROCOMP, CA-J Comp Air Jet"
CAML,LandPlane,1/Piston,"SOPWITH, Camel Replica"
CAMP,LandPlane,1/Piston,"GREGA, GN-1 Aircamper"
CAN4,LandPlane,1/Piston,"CAMPANA, AN-4"
CAPL,LandPlane,1/Piston,"CAPELLA, Capella"
CAR,LandPlane,1/Piston,"AEROCAR, Aerocar"
CARV,LandPlane,4/Piston,"AVIATION TRADERS, ATL-98 Carvair"
CASS,LandPlane,1/Piston,"CASSUTT, Special"
CAT,Amphibian,2/Piston,"CONSOLIDATED, PBY Catalina"
CAT1,LandPlane,1/Piston,"CREATIVE FLIGHT, MPA Aerocat SR"
CAT2,LandPlane,2/Piston,"CREATIVE FLIGHT, MPA Aerocat TR"
CAW,LandPlane,1/Piston,"CESSNA, AW"
CB1,LandPlane,1/Piston,"HATZ, CB-1 Biplane"
CC11,Landplane,1/Piston,"CUB CRAFTERS, CC-11 Carbon Cub"
CC19,LandPlane,1/Piston,"CUB CRAFTERS, CC-19 XCub"
CD2,Amphibian,2/Turboprop/Turboshaft,"CLAUDIUS DORNIER, CD-2 Seastar"
CDC6,LandPlane,1/Piston,"CESSNA, DC-6"
CDUS,Gyrocopter,1/Piston,"ROTORSPORT, Calidus"
CDW1,LandPlane,1/Piston,"CHILTON, DW-1"
CE15,SeaPlane,1/Piston,"CHERNOV, Che-15"
CE22,Amphibian,2/Piston,"CHERNOV, Che-22 Corvette"
CE23,Amphibian,1/Piston,"CHERNOV, Che-23"
CE25,Amphibian,2/Piston,"CHERNOV, Che-25"
CE27,Amphibian,2/Piston,"CHERNOV, Che-27"
CE43,LandPlane,1/Piston,"CERVA, CE-43 Guepard"
CEGL,LandPlane,1/Piston,"CELAIR, Eagle 300"
CELR,LandPlane,1/Piston,"MIRAGE, Celerity"
CENT,LandPlane,1/Piston,"FOUND, 100 Centennial"
CFRE,Amphibian,1/Piston,"COLYAER, Freedom"
CG3,LandPlane,1/Piston,"CAUDRON, G-3 Replica"
CGAN,SeaPlane,1/Piston,"COLYAER, Gannet"
CH1,LandPlane,1/Turboprop/Turboshaft,"AIDC, A-CH-1 Chung-Tsing"
CH10,LandPlane,1/Piston,"ZENAIR, CH-100 Mono-Zénith"
CH12,Helicopter,1/Piston,"CICARE, CH-12"
CH14,Helicopter,1/Turboprop/Turboshaft,"CICARE, CH-14 Aguilucho"
CH15,LandPlane,1/Piston,"ZENAIR, CH-150 Acro-Zénith"
CH18,LandPlane,1/Piston,"ZENAIR, CH-180 Super Acro-Zénith"
CH20,LandPlane,1/Piston,"ZENAIR, CH-200 Zénith"
CH25,LandPlane,1/Piston,"ZENAIR, CH-250 Zénith"
CH2T,LandPlane,1/Piston,"ZENAIR, CH-2000 Zénith"
CH3,LandPlane,1/Piston,"CHRISLEA, CH-3 Super Ace"
CH30,LandPlane,1/Piston,"ZENAIR, CH-300 Tri-Zénith"
CH40,LandPlane,2/Piston,"CHAMPION, 402 Lancer"
CH50,LandPlane,1/Piston,"ZENAIR, CH-50 Mini Zénith"
CH60,LandPlane,1/Piston,"ZENAIR, CH-600 Zodiac"
CH62,LandPlane,2/Piston,"ZENAIR, CH-620 Gemini"
CH64,LandPlane,1/Piston,"ZENAIR, CH-640 Zodiac"
CH65,LandPlane,1/Piston,"AMD, CH-650 Zodiac"
CH7,Helicopter,1/Piston,"HELI-SPORT, CH-7 Kompress"
CH70,LandPlane,1/Piston,"ZENAIR, CH-701 Stol"
CH75,LandPlane,1/Piston,"ZENAIR, CH-750 Cruzer"
CH7A,LandPlane,1/Piston,"AERONCA, 7AC Champion"
CH7B,LandPlane,1/Piston,"AMERICAN CHAMPION, 7GCBC Citabria High Country Explorer"
CH80,LandPlane,1/Piston,"ZENAIR, CH-801 Stol"
CHAN,LandPlane,1/Piston,"CADCOR, Chanute"
CHCS,LandPlane,1/Piston,"ALPAERO, Choucas"
CHGO,LandPlane,1/Piston,"KOREAN AIR, CHK-91 Chang-Gong 91"
CHIC,LandPlane,1/Piston,"PODESVA, Chico"
CHIF,Helicopter,1/Piston,"PAWNEE, Chief"
CHIN,LandPlane,1/Piston,"ASAP, Chinook"
CHIP,LandPlane,1/Piston,"LEGER, Super-Chipmunk"
CHR1,LandPlane,1/Piston,"ELMWOOD, CA-05 Christavia Mk1"
CHR4,LandPlane,1/Piston,"ELMWOOD, CH-8 Christavia Mk4"
CHSY,Gyrocopter,1/Piston,"CHAYAIR, Sycamore"
CICA,LandPlane,2/Piston,"HYDROPLANE, SkyWind"
CJ1,LandPlane,1/Piston,"CORBY, CJ-1 Starlet"
CJ6,LandPlane,1/Piston,"NANCHANG, CJ-6"
CKUO,LandPlane,2/Jet,"AIDC, F-CK-1 Ching-Kuo"
CL2P,Amphibian,2/Piston,"CANADAIR, CL-215"
CL2T,Amphibian,2/Turboprop/Turboshaft,"CANADAIR, CL-415"
CL30,LandPlane,2/Jet,"BOMBARDIER, Challenger 300"
CL35,LandPlane,2/Jet,"BOMBARDIER, Challenger 350"
CL41,LandPlane,1/Jet,"CANADAIR, CL-41 Tutor"
CL4G,LandPlane,4/Turboprop/Turboshaft,"CANADAIR, CL-44-O Guppy"
CL60,LandPlane,2/Jet,"CANADAIR, Challenger 600"
CL8,LandPlane,1/Piston,"CARRIOU, CL-8 RSA Club"
CLA,LandPlane,1/Piston,"CALLAIR, A-2"
CLB1,LandPlane,1/Piston,"AERO COMMANDER, B-1 Ag Commander"
CLBR,LandPlane,1/Piston,"FISHER AERO, Celebrity"
CLD2,Gyrocopter,1/Piston,"ROTORTEC, Cloud Dancer 2"
CLDS,LandPlane,1/Piston,"REARWIN, Cloudster"
CLON,Gyrocopter,1/Piston,"ROTORSPORT, Cavalon"
CMA3,LandPlane,1/Piston,"COLYAER, Martin 3"
CMAS,LandPlane,1/Piston,"CESSNA, C-165 Airmaster"
CMDE,Gyrocopter,1/Piston,"AIR COMMAND, Commander Elite Side-by-Side"
CMDT,Gyrocopter,1/Piston,"AIR COMMAND, Commander  Elite Tandem"
CN12,LandPlane,1/Piston,"CIRCA, Nieuport 12-7/8"
CN35,LandPlane,2/Turboprop/Turboshaft,"CASA, CN-235 Persuader"
CNBR,LandPlane,2/Jet,"ENGLISH ELECTRIC, Canberra"
CNDR,LandPlane,2/Turboprop/Turboshaft,"GENERAL AVIA, F-20TP Condor"
CNGP,LandPlane,1/Piston,"CESSNA, NGP"
CNUK,LandPlane,1/Piston,"FLEET, 80 Canuck"
CO50,LandPlane,1/Piston,"COBALT, Co-50 Valkyrie"
COAR,LandPlane,1/Piston,"COBRA, Arrow"
COBR,LandPlane,1/Piston,"DEBORDE-ROLLAND, Cobra"
COL3,LandPlane,1/Piston,"CESSNA, 350 Corvalis"
COL4,LandPlane,1/Piston,"CESSNA, 400 Corvalis TT"
COLT,LandPlane,1/Piston,"TEXAS AIRCRAFT, TA-01"
COMU,Helicopter,1/Piston,"HELICOM, H-1 Commuter"
CONI,LandPlane,4/Piston,"LOCKHEED, C-121 Constellation"
COOT,Amphibian,1/Piston,"TAYLOR (2), Coot"
CORO,LandPlane,1/Piston,"CORVUS, CA-21 Phantom"
CORR,LandPlane,1/Piston,"SIVEL, SD-27 Corriedale"
CORS,LandPlane,1/Piston,"CHANCE VOUGHT, F4U Corsair"
CORV,LandPlane,2/Piston,"WOLFSBERG, Corvus"
COUG,LandPlane,1/Piston,"NESMITH, Cougar"
COUR,LandPlane,1/Piston,"HELIO, U-10 Super Courier"
COY2,LandPlane,1/Piston,"RANS, S-6 Coyote 2"
COZJ,LandPlane,1/Jet,"CO-Z, CozyJet"
COZY,LandPlane,1/Piston,"AEROCAD, AeroCanard"
CP10,LandPlane,1/Piston,"MUDRY, CAP-10"
CP13,LandPlane,1/Piston,"PIEL, Super Emeraude (CP-1310/1315/1330)"
CP20,LandPlane,1/Piston,"MUDRY, CAP-20"
CP21,LandPlane,1/Piston,"MUDRY, CAP-21"
CP22,LandPlane,1/Piston,"GILES, G-222"
CP23,LandPlane,1/Piston,"MUDRY, CAP-230"
CP30,LandPlane,1/Piston,"PIEL, CP-30 Emeraude"
CP32,LandPlane,1/Piston,"PIEL, Super Emeraude (CP-320/325/328)"
CP60,LandPlane,1/Piston,"PIEL, CP-60 Diamant"
CP65,LandPlane,1/Piston,"PORTERFIELD, CP-65 Collegiate"
CP75,LandPlane,1/Piston,"PIEL, CP-70 Béryl"
CP80,LandPlane,1/Piston,"PIEL, CP-80 Zéphir"
CP90,LandPlane,1/Piston,"PIEL, CP-90 Pinocchio 2"
CPNA,LandPlane,1/Piston,"PENA, Capena"
CPUP,LandPlane,1/Piston,"CULP, Sopwith Pup"
CR10,LandPlane,1/Piston,"DYN'AERO, CR-100"
CRA1,LandPlane,1/Piston,"CRANFIELD, A-1 Eagle"
CRAC,LandPlane,1/Piston,"PLUMB, CJ-3 Cracker Jack"
CRBN,LandPlane,1/Piston,"CURTISS, 50 Robin"
CRER,LandPlane,1/Piston,"RANS, S-7 Courier"
CRES,LandPlane,1/Turboprop/Turboshaft,"PACIFIC AEROSPACE, Cresco"
CRIO,Amphibian,1/Piston,"MICROLEVE, Corsario"
CRJ1,LandPlane,2/Jet,"CANADAIR, Regional Jet CRJ-100"
CRJ2,LandPlane,2/Jet,"CANADAIR, Regional Jet CRJ-200"
CRJ7,LandPlane,2/Jet,"CANADAIR, Regional Jet CRJ-700"
CRJ9,LandPlane,2/Jet,"CANADAIR, Regional Jet CRJ-900"
CRJX,LandPlane,2/Jet,"BOMBARDIER, Regional Jet CRJ-1000"
CRUZ,LandPlane,1/Piston,"CZAW, SportCruiser"
CT4,LandPlane,1/Piston,"PACIFIC AEROSPACE, CT-4 Airtrainer"
CTAH,LandPlane,1/Piston,"RAINBOW SKYREACH, Cheetah"
CTLN,Amphibian,1/Piston,"FLY SYNTHESIS, Catalina"
CUB2,LandPlane,1/Piston,"ACES HIGH, Cuby 2"
CUCA,LandPlane,1/Piston,"CULVER, Cadet"
CULP,LandPlane,1/Piston,"CULP, Special"
CULV,LandPlane,1/Piston,"CULVER, V"
CULX,LandPlane,2/Piston,"FISHER AERO, Culex"
CVLP,LandPlane,2/Piston,"CONVAIR, C-131 Samaritan"
CVLT,LandPlane,2/Turboprop/Turboshaft,"CONVAIR, C-131H"
CX5,LandPlane,1/Piston,"THATCHER, CX-5"
CYCL,LandPlane,1/Piston,"CARLSON, Skycycle"
CYGT,LandPlane,1/Piston,"HAWKER, Cygnet Replica"
D1,LandPlane,2/Piston,"WING, D-1 Derringer"
D11,LandPlane,1/Piston,"JODEL, D-11"
D139,LandPlane,1/Piston,"DORNA, D-139 Parandeh Abi"
D140,LandPlane,1/Piston,"JODEL, D-140 Mousquetaire"
D150,LandPlane,1/Piston,"JODEL, D-150 Mascaret"
D18,LandPlane,1/Piston,"JODEL, D-18"
D201,LandPlane,1/Piston,"D'APUZZO, D-201 Sportwing"
D21,LandPlane,1/Piston,"FOKKER, D-21 Replica"
D228,LandPlane,2/Turboprop/Turboshaft,"DORNIER, 228"
D25,LandPlane,1/Piston,"NEW STANDARD, D-25"
D250,LandPlane,1/Piston,"CENTRE EST, DR-250 Capitaine"
D253,LandPlane,1/Piston,"CENTRE EST, DR-253 Regent"
D28D,LandPlane,2/Piston,"DORNIER, Do-28D Skyservant"
D28T,LandPlane,2/Turboprop/Turboshaft,"DORNIER, Do-28D-6 Turbo Skyservant"
D31,LandPlane,1/Piston,"DRUINE, D-31 Turbulent"
D328,LandPlane,2/Turboprop/Turboshaft,"DORNIER, 328"
D39,LandPlane,1/Piston,"AKAFLIEG DARMSTADT, D-39"
D4,LandPlane,1/Piston,"AUSTER, D-4"
D5,LandPlane,1/Piston,"AUSTER, D-5"
D5TU,LandPlane,1/Piston,"DRUINE, D-5 Turbi"
D6,LandPlane,1/Piston,"AUSTER, D-6"
D6CR,LandPlane,1/Piston,"DRUINE, D-60 Condor"
D7,LandPlane,1/Piston,"FOKKER, D-7 Replica"
D8,LandPlane,1/Piston,"FOKKER, D-8 Replica"
DA2,LandPlane,1/Piston,"DAVIS, DA-2"
DA36,LandPlane,1/Electric,"DIAMOND, DA-36 E-Star"
DA40,LandPlane,1/Piston,"DIAMOND, DA-40 Diamond Star"
DA42,LandPlane,2/Piston,"DIAMOND, DA-42 Twin Star"
DA5,LandPlane,1/Piston,"DAVIS, DA-5"
DA50,LandPlane,1/Piston,"DIAMOND, DA-50 SuperStar"
DA62,LandPlane,2/Piston,"DIAMOND, DA-62"
DAHU,LandPlane,1/Piston,"PENA, Dahu"
DAKH,LandPlane,1/Piston,"FISHER, Dakota Hawk"
DAL1,LandPlane,1/Piston,"SPEZIO, DAL-1 Tuholer"
DAL4,LandPlane,1/Piston,"DALLACH, D-4 Fascination"
DAL5,LandPlane,1/Piston,"DALLACH, D-5 Evolution"
DART,LandPlane,1/Piston,"PARRISH, Dart"
DC10,LandPlane,3/Jet,"MCDONNELL DOUGLAS, DC-10"
DC2,LandPlane,2/Piston,"DOUGLAS, DC-2"
DC3,LandPlane,2/Piston,"DOUGLAS, DC-3"
DC3S,LandPlane,2/Piston,"DOUGLAS, Super DC-3"
DC3T,LandPlane,2/Turboprop/Turboshaft,"BASLER, BT-67 Turbo 67"
DC4,LandPlane,4/Piston,"DOUGLAS, DC-4"
DC6,LandPlane,4/Piston,"DOUGLAS, DC-6"
DC7,LandPlane,4/Piston,"DOUGLAS, DC-7"
DC85,LandPlane,4/Jet,"MCDONNELL DOUGLAS, DC-8-50"
DC86,LandPlane,4/Jet,"MCDONNELL DOUGLAS, DC-8-60"
DC87,LandPlane,4/Jet,"MCDONNELL DOUGLAS, DC-8-70"
DC91,LandPlane,2/Jet,"MCDONNELL DOUGLAS, DC-9-10"
DC92,LandPlane,2/Jet,"MCDONNELL DOUGLAS, DC-9-20"
DC93,LandPlane,2/Jet,"MCDONNELL DOUGLAS, DC-9-30"
DC94,LandPlane,2/Jet,"MCDONNELL DOUGLAS, DC-9-40"
DC95,LandPlane,2/Jet,"MCDONNELL DOUGLAS, DC-9-50"
DEAG,Gyrocopter,1/Piston,"AMAX, Double Eagle"
DEFI,LandPlane,2/Piston,"RUTAN, 40 Defiant"
DELF,LandPlane,1/Piston,"LYAVIN, Delfin"
DFL6,LandPlane,1/Piston,"DAMOURE-FABRE, DFL-6 Saphir"
DFLY,LandPlane,1/Piston,"VIKING (1), Dragonfly"
DG15,LandPlane,1/Piston,"HOWARD (1), DGA-15"
DG1T,LandPlane,1/Piston,"DG FLUGZEUGBAU, DG-1000T"
DG40,LandPlane,1/Piston,"GLASER-DIRKS, DG-400"
DG50,LandPlane,1/Piston,"GLASER-DIRKS, DG-500M"
DG60,LandPlane,1/Piston,"GLASER-DIRKS, DG-600M"
DG80,LandPlane,1/Piston,"DG FLUGZEUGBAU, DG-800"
DH2T,LandPlane,1/Turboprop/Turboshaft,"DE HAVILLAND CANADA, DHC-2 Mk3 Turbo Beaver"
DH3T,LandPlane,1/Turboprop/Turboshaft,"DE HAVILLAND CANADA, DHC-3 Turbo Otter"
DH4T,LandPlane,2/Turboprop/Turboshaft,"DE HAVILLAND CANADA, DHC-4 Turbo Caribou"
DH60,LandPlane,1/Piston,"DE HAVILLAND, DH-60 Moth"
DH80,LandPlane,1/Piston,"DE HAVILLAND, DH-80 Puss Moth"
DH82,LandPlane,1/Piston,"DE HAVILLAND, DH-82 Tiger Moth"
DH83,LandPlane,1/Piston,"DE HAVILLAND, DH-83 Fox Moth"
